#No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,WISEA J221312.66-194532.5,333.30295,-19.75911,G,18461.00,0.061579,,16.07,11.983,10,0,32,7,3,2,0
2,WISEA J221319.95-200202.0,333.33308,-20.03394,G,18570.00,0.061942,PHOT,,15.281,1,0,31,5,1,2,0
3,WISEA J221322.11-193412.1,333.34208,-19.57003,G,23474.00,0.078301,PHOT,18.23,18.143,2,0,28,5,1,2,0
4,WISEA J221232.13-194917.7,333.13405,-19.82146,G,17696.00,0.059029,PHOT,17.69,20.668,3,0,32,6,1,2,0
5,ESO 601-G029,333.18858,-19.56156,G,20470.00,0.068281,,15.62,23.987,11,0,42,9,3,14,0
6,WISEA J221220.88-195835.8,333.08679,-19.97669,G,19876.00,0.066299,,16.92,24.848,4,0,32,6,3,2,0
7,ESO 601-G036,333.85313,-19.58527,G,2600.00,0.008672,,15.25,24.888,15,1,11,6,3,12,1
8,WISEA J221211.44-195557.8,333.04704,-19.93294,G,15894.00,0.053017,,16.94,26.247,3,0,26,5,2,2,0
9,WISEA J221246.95-201055.2,333.19550,-20.18178,G,20423.00,0.068124,PHOT,18.00,27.052,2,0,32,6,1,2,0
10,WISEA J221501.14-192536.9,333.75484,-19.42702,G,19960.00,0.066579,,16.66,28.315,3,0,31,5,3,2,0
11,WISEA J221241.55-192515.5,333.17313,-19.42097,G,15748.00,0.05253,,17.63,30.877,6,0,31,8,4,2,0
12,WISEA J221149.26-194704.0,332.95521,-19.78450,G,20346.00,0.067867,,15.5R,30.893,4,0,27,5,2,2,0
13,WISEA J221152.88-194139.0,332.97021,-19.69372,G,21027.00,0.070138,PHOT,17.40,31.066,2,0,32,6,1,2,0
14,WISEA J221145.17-195400.1,332.93842,-19.90072,G,19829.00,0.066143,PHOT,17.14,31.946,2,0,44,7,1,2,0
15,WISEA J221412.12-191801.2,333.55071,-19.30053,G,15411.00,0.051404,PHOT,15.7r,32.097,1,0,31,5,1,2,0
16,WISEA J221437.05-191904.9,333.65435,-19.31814,G,18208.00,0.060737,PHOT,17.12,32.119,3,0,28,5,1,2,0
17,WISEA J221142.57-194059.0,332.92792,-19.68286,G,19704.00,0.065725,,17.59,33.542,3,0,25,5,1,0,0
18,WISEA J221151.41-193329.2,332.96421,-19.55808,G,15622.00,0.052109,,18.04,34.479,5,0,26,6,2,0,0
19,WISEA J221232.55-201832.1,333.13558,-20.30900,G,23359.00,0.077918,PHOT,18.05,35.161,1,0,28,5,1,2,0
20,WISEA J221131.72-193830.8,332.88233,-19.64193,G,20164.00,0.06726,,16.85,36.725,6,0,32,6,3,2,0
21,WISEA J221258.42-191529.1,333.24350,-19.25813,G,20422.00,0.06812,,17.04,37.436,5,0,32,7,3,2,0
22,WISEA J221133.38-193359.8,332.88917,-19.56667,G,23355.00,0.077905,PHOT,17.87,38.034,2,0,28,5,1,2,0
23,WISEA J221117.80-194054.2,332.82404,-19.68186,G,19806.00,0.066066,,16.46,39.237,6,0,32,6,4,2,0
24,WISEA J221158.99-201738.9,332.99579,-20.29419,G,19930.00,0.066479,,14.3I,39.65,4,0,31,5,3,2,1
25,FGCE 1714,333.34575,-20.52508,G,23815.00,0.079438,,17.3,42.404,6,0,32,7,3,2,0
26,WISEA J221655.11-193432.7,334.22962,-19.57575,G,18944.00,0.06319,PHOT,,44.016,2,0,27,4,1,2,0
27,WISEA J221049.28-194341.0,332.70521,-19.72828,G,20428.00,0.068139,PHOT,17.76,45.314,2,0,28,5,1,2,0
28,WISEA J221413.39-190223.7,333.55575,-19.04011,G,23227.00,0.077477,PHOT,16.57,47.698,3,0,32,6,1,2,0
29,WISEA J221101.25-192428.6,332.75563,-19.40844,G,19578.00,0.065305,,17.57,49.191,3,0,31,6,3,2,0
30,WISEA J221119.87-202203.2,332.83288,-20.36758,G,18533.00,0.061819,,18.16,49.401,2,0,32,6,2,2,1
31,2MASX J22172928-1954557,334.37208,-19.91557,G,15403.00,0.051379,,16.30,49.455,4,0,19,4,2,2,0
32,WISEA J221032.17-193812.3,332.63408,-19.63683,G,23774.00,0.079303,PHOT,18.25,50.304,1,0,32,6,1,2,0
33,WISEA J221216.80-190418.9,333.07008,-19.07181,G,18810.00,0.062743,,16.70,51.762,7,0,32,6,3,2,0
34,WISEA J221221.15-203700.8,333.08812,-20.61758,G,23751.00,0.079226,PHOT,17.82,52.458,1,0,44,7,1,2,0
35,WISEA J221149.76-203300.2,332.95736,-20.55022,G,23517.00,0.078444,,16.62,52.762,6,0,28,5,3,2,0
36,WISEA J221224.13-190158.6,333.10083,-19.03281,G,23448.00,0.078215,PHOT,17.55,53.077,1,0,32,6,1,2,0
37,2MFGC 16774,333.57325,-18.94897,G,18898.00,0.063037,,17.25,53.223,5,0,32,6,3,2,0
